,feature_set,n_features,AUC,AUC_CI_lo,AUC_CI_hi,F1,F1_CI_lo,F1_CI_hi
Logistic_Regression,all_features,12,0.8388571428571429,0.7160388649519084,0.9321272001570372,0.7272727272727273,0.5498863636363637,0.8571428571428571
Random_Forest_Clf,all_features,12,0.8537142857142858,0.748447619047619,0.9375192901234567,0.6153846153846154,0.4,0.782608695652174
Extra_Trees_Clf,all_features,12,0.8262857142857143,0.7063461753679146,0.9224444213234975,0.14814814814814814,0.0,0.34285714285714286
Gradient_Boosting_Clf,all_features,12,0.848,0.7371309523809524,0.9330223285486443,0.5641025641025641,0.3448275862068966,0.7368421052631579
AdaBoost_Clf,all_features,12,0.8611428571428571,0.7573705307994476,0.9461912252039302,0.5945945945945946,0.3748842592592593,0.7692307692307693
SVC,all_features,12,0.8308571428571428,0.706663043478261,0.9282407407407408,0.7142857142857143,0.5293343653250774,0.851063829787234
Logistic_Regression,no_time,11,0.7348571428571428,0.5920968473742755,0.8645006613756613,0.6521739130434783,0.47619047619047616,0.7931034482758621
Random_Forest_Clf,no_time,11,0.792,0.6686332463885744,0.9001313121642605,0.42105263157894735,0.21043557168784027,0.6046863988724451
Extra_Trees_Clf,no_time,11,0.7371428571428571,0.5944789174641149,0.8577312681146023,0.0,0.0,0.0
Gradient_Boosting_Clf,no_time,11,0.809142857142857,0.685401160730108,0.9126861009056733,0.55,0.34146341463414637,0.7272727272727273
AdaBoost_Clf,no_time,11,0.7628571428571429,0.6234208325190541,0.8822552455357143,0.30303030303030304,0.07685185185185187,0.5
SVC,no_time,11,0.7337142857142858,0.5856458333333333,0.8651650034176348,0.4,0.17391304347826086,0.5945945945945946
Logistic_Regression,top4_reduced,4,0.7394285714285714,0.596560989010989,0.8613462890297129,0.6363636363636364,0.45,0.7906976744186046
Random_Forest_Clf,top4_reduced,4,0.7811428571428571,0.6475848063973063,0.8909935780996219,0.5,0.2857142857142857,0.68
Extra_Trees_Clf,top4_reduced,4,0.7405714285714285,0.5984109889747145,0.865577721661055,0.07692307692307693,0.0,0.24
Gradient_Boosting_Clf,top4_reduced,4,0.7765714285714286,0.6495701058201059,0.8795612928060816,0.35294117647058826,0.13333333333333333,0.53668424522083
AdaBoost_Clf,top4_reduced,4,0.7674285714285715,0.6289451357466064,0.8829473586309524,0.3125,0.08,0.5116577221228382
SVC,top4_reduced,4,0.7634285714285715,0.6261426124937155,0.8809872962385416,0.6808510638297872,0.5113372093023256,0.8125578703703701
